# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=1
Bx,By,Bz
3.680001501500699135e+01,1.428824033402132265e+00,-2.747174910503385359e+00
3.679005722410655466e+01,1.434283979728257163e+00,-2.705985961664060913e+00
3.678007334721795729e+01,1.439744539235268794e+00,-2.664807121425040837e+00
3.677006343628816154e+01,1.445205666638666564e+00,-2.623638512348937191e+00
3.676002754170844611e+01,1.450667319522662257e+00,-2.582480256260366147e+00
3.674996571607337614e+01,1.456129453963326492e+00,-2.541332475492177334e+00
3.673987801167339740e+01,1.461592027441526609e+00,-2.500195292040133133e+00
3.672976448174928521e+01,1.467054997381499026e+00,-2.459068827977444638e+00
3.671962517797528847e+01,1.472518324065857032e+00,-2.417953204583833671e+00
3.670946015423051989e+01,1.477981966255483837e+00,-2.376848543626976618e+00
3.669926946408322976e+01,1.483445884104239054e+00,-2.335754966493327256e+00
3.668905316141774620e+01,1.488910038426309868e+00,-2.294672594393243781e+00
3.667881130106494680e+01,1.494374389962835004e+00,-2.253601548575013158e+00
3.666854393627514952e+01,1.499838902298385790e+00,-2.212541949424513543e+00
3.665825112250474405e+01,1.505303537477742815e+00,-2.171493917790818795e+00
3.664793291488995663e+01,1.510768258922021490e+00,-2.130457574088880701e+00
3.663758936951023770e+01,1.516233029964916046e+00,-2.089433038741197013e+00
3.662722054085279666e+01,1.521697816770138934e+00,-2.048420431254209806e+00
3.661682648561147602e+01,1.527162583945955721e+00,-2.007419871579569470e+00
3.660640726015235202e+01,1.532627297462437976e+00,-1.966431479193577303e+00
3.659596292114508032e+01,1.538091923917342951e+00,-1.925455373315453134e+00
3.658549352619768769e+01,1.543556429801621555e+00,-1.884491673134744083e+00
3.657499913131110958e+01,1.549020784417664443e+00,-1.843540496860223810e+00
3.656447979469258769e+01,1.554484955491867160e+00,-1.802601963123203310e+00
3.655393557421137274e+01,1.559948912092598672e+00,-1.761676190029375588e+00
3.654336652803274887e+01,1.565412623895525046e+00,-1.720763295385149050e+00
3.653277271525490733e+01,1.570876060448528122e+00,-1.679863396932331998e+00
3.652215419335350788e+01,1.576339194090470741e+00,-1.638976611368914371e+00
3.651151102201014709e+01,1.581801995562143182e+00,-1.598103055795630389e+00
3.650084326055775819e+01,1.587264436924900490e+00,-1.557242846739645303e+00
3.649015096925727164e+01,1.592726490094638070e+00,-1.516396100636181243e+00
3.647943420673475146e+01,1.598188129760500287e+00,-1.475562932828081708e+00
3.646869303382076311e+01,1.603649328995320866e+00,-1.434743459044859115e+00
3.645792751098834827e+01,1.609110062174242239e+00,-1.393937794405103681e+00
3.644713769899123434e+01,1.614570304239076437e+00,-1.353146053656045122e+00
3.643632365950501395e+01,1.620030029962814311e+00,-1.312368351421238977e+00
3.642548545255409920e+01,1.625489216867916920e+00,-1.271604801173302990e+00
3.641462314036589021e+01,1.630947840836678653e+00,-1.230855516753654122e+00
3.640373678479886621e+01,1.636405879029344534e+00,-1.190120611349015256e+00
3.639282644862781524e+01,1.641863308417648826e+00,-1.149400197998287965e+00
3.638189219296347687e+01,1.647320108702859498e+00,-1.108694388543496112e+00
3.637093408111752524e+01,1.652776257926087400e+00,-1.068003295182757828e+00
3.635995217602314256e+01,1.658231735386231920e+00,-1.027327029424615068e+00
3.634894654087749188e+01,1.663686520903876920e+00,-9.866657023405367433e-01
3.633791723978665544e+01,1.669140594085676055e+00,-9.460194248252966620e-01
3.632686433517629609e+01,1.674593937241257935e+00,-9.053883065223623516e-01
3.631578789167019750e+01,1.680046530994327325e+00,-8.647724574171868905e-01
3.630468797350154375e+01,1.685498357199799901e+00,-8.241719867647518960e-01
3.629356464580685326e+01,1.690949397477202742e+00,-7.835870036225924817e-01
3.628241797202831975e+01,1.696399636126985522e+00,-7.430176157548794569e-01
